"simulationTime[s]","districtName","districtSafetyLevel","patrolID","previousPatrolState","currentPatrolState","isNight"
3976,Krzy¿,RatherSafe,9e3cf8d1-78cf-43b7-94ca-82601906cb86,PATROLLING,CALCULATING_PATH,0
3986,Krzy¿,RatherSafe,9e3cf8d1-78cf-43b7-94ca-82601906cb86,CALCULATING_PATH,PATROLLING,0
3997,Starówka,RatherSafe,fa3572bd-624c-4868-96df-1b872ef7322f,PATROLLING,CALCULATING_PATH,0
4008,Strusina,RatherSafe,92d8723f-9f6c-4d11-8090-97685e212d0c,PATROLLING,CALCULATING_PATH,0
4008,Starówka,RatherSafe,fa3572bd-624c-4868-96df-1b872ef7322f,CALCULATING_PATH,PATROLLING,0
4019,Krzy¿,RatherSafe,972841a3-e987-4249-96b1-f36656790b37,PATROLLING,CALCULATING_PATH,0
4020,Strusina,RatherSafe,92d8723f-9f6c-4d11-8090-97685e212d0c,CALCULATING_PATH,PATROLLING,0
4030,Krzy¿,RatherSafe,972841a3-e987-4249-96b1-f36656790b37,CALCULATING_PATH,PATROLLING,0
4051,Klikowa,RatherSafe,a975a7c1-794c-46de-b854-26bb54849f06,PATROLLING,CALCULATING_PATH,0
4062,Gumniska-Zab³ocie,Safe,edacdccb-647e-4f3c-960e-e31fa6dae7ed,PATROLLING,CALCULATING_PATH,0
4063,Klikowa,RatherSafe,a975a7c1-794c-46de-b854-26bb54849f06,CALCULATING_PATH,PATROLLING,0
4074,Gumniska-Zab³ocie,Safe,edacdccb-647e-4f3c-960e-e31fa6dae7ed,CALCULATING_PATH,PATROLLING,0
4084,Moœcice,RatherSafe,c8060528-8310-4abb-877b-881cd84ddcfe,PATROLLING,CALCULATING_PATH,0
4095,Jasna,RatherSafe,04c26d02-2271-4bbf-b1f3-09dfdbffceee,PATROLLING,TRANSFER_TO_INTERVENTION,0
4096,Jasna,RatherSafe,04c26d02-2271-4bbf-b1f3-09dfdbffceee,TRANSFER_TO_INTERVENTION,CALCULATING_PATH,0
4096,Jasna,RatherSafe,f5154a28-89bd-44b0-b047-a8ea2e052943,PATROLLING,CALCULATING_PATH,0
4097,Chyszów,RatherSafe,3159f8d4-ea20-44ad-abec-2208a2442265,PATROLLING,CALCULATING_PATH,0
4097,Moœcice,RatherSafe,c8060528-8310-4abb-877b-881cd84ddcfe,CALCULATING_PATH,PATROLLING,0
4108,Jasna,RatherSafe,04c26d02-2271-4bbf-b1f3-09dfdbffceee,CALCULATING_PATH,TRANSFER_TO_INTERVENTION,0
4108,Jasna,RatherSafe,f5154a28-89bd-44b0-b047-a8ea2e052943,CALCULATING_PATH,PATROLLING,0
4108,Chyszów,RatherSafe,3159f8d4-ea20-44ad-abec-2208a2442265,CALCULATING_PATH,PATROLLING,0
4119,Moœcice,RatherSafe,9eb61784-03d3-4b8a-bb7f-3a4428a304a7,PATROLLING,CALCULATING_PATH,0
4120,Jasna,RatherSafe,9bfb8e93-a3a5-4d0d-bd2f-7d40b6d7be35,PATROLLING,CALCULATING_PATH,0
4131,Moœcice,RatherSafe,9eb61784-03d3-4b8a-bb7f-3a4428a304a7,CALCULATING_PATH,PATROLLING,0
4131,Jasna,RatherSafe,9bfb8e93-a3a5-4d0d-bd2f-7d40b6d7be35,CALCULATING_PATH,PATROLLING,0
4142,Piaskówka,RatherSafe,fa3572bd-624c-4868-96df-1b872ef7322f,PATROLLING,CALCULATING_PATH,0
4142,Moœcice,RatherSafe,26998f1b-d30a-48cf-99d5-849f9c4a29e1,PATROLLING,CALCULATING_PATH,0
4153,Piaskówka,RatherSafe,fa3572bd-624c-4868-96df-1b872ef7322f,CALCULATING_PATH,PATROLLING,0
4153,Moœcice,RatherSafe,26998f1b-d30a-48cf-99d5-849f9c4a29e1,CALCULATING_PATH,PATROLLING,0
4174,Gumniska-Zab³ocie,Safe,52543456-1b62-47fb-832c-21213eac15cc,PATROLLING,CALCULATING_PATH,0
4185,Gumniska-Zab³ocie,Safe,52543456-1b62-47fb-832c-21213eac15cc,CALCULATING_PATH,PATROLLING,0
4185,Moœcice,RatherSafe,37194ea4-f9a8-479f-a5b0-476160ef9f59,PATROLLING,CALCULATING_PATH,0
4196,Piaskówka,RatherSafe,edacdccb-647e-4f3c-960e-e31fa6dae7ed,PATROLLING,CALCULATING_PATH,0
4196,Moœcice,RatherSafe,37194ea4-f9a8-479f-a5b0-476160ef9f59,CALCULATING_PATH,PATROLLING,0
4207,Jasna,RatherSafe,04c26d02-2271-4bbf-b1f3-09dfdbffceee,TRANSFER_TO_INTERVENTION,INTERVENTION,0
4207,Piaskówka,RatherSafe,edacdccb-647e-4f3c-960e-e31fa6dae7ed,CALCULATING_PATH,PATROLLING,0
4218,Moœcice,RatherSafe,f0b925c5-05f3-4b25-b2f5-a085c7308092,PATROLLING,CALCULATING_PATH,0
4229,Klikowa,RatherSafe,646ccb3a-acb5-4f17-af1f-b8313878e345,PATROLLING,CALCULATING_PATH,0
4229,Moœcice,RatherSafe,f0b925c5-05f3-4b25-b2f5-a085c7308092,CALCULATING_PATH,PATROLLING,0
4239,Krzy¿,RatherSafe,9e3cf8d1-78cf-43b7-94ca-82601906cb86,PATROLLING,CALCULATING_PATH,0
4240,Klikowa,RatherSafe,646ccb3a-acb5-4f17-af1f-b8313878e345,CALCULATING_PATH,PATROLLING,0
4251,Krzy¿,RatherSafe,9e3cf8d1-78cf-43b7-94ca-82601906cb86,CALCULATING_PATH,PATROLLING,0
4251,Chyszów,RatherSafe,336a13e7-c542-4f74-905b-23184c27cf18,PATROLLING,CALCULATING_PATH,0
4262,Krzy¿,RatherSafe,9bfb8e93-a3a5-4d0d-bd2f-7d40b6d7be35,PATROLLING,CALCULATING_PATH,0
4262,Chyszów,RatherSafe,336a13e7-c542-4f74-905b-23184c27cf18,CALCULATING_PATH,PATROLLING,0
4273,Krzy¿,RatherSafe,9bfb8e93-a3a5-4d0d-bd2f-7d40b6d7be35,CALCULATING_PATH,PATROLLING,0
4284,Gumniska-Zab³ocie,Safe,68ffe052-7813-4b90-baaa-866faf70c059,INTERVENTION,PATROLLING,0
4296,Gumniska-Zab³ocie,Safe,68ffe052-7813-4b90-baaa-866faf70c059,CALCULATING_PATH,PATROLLING,0
4306,Grabówka,RatherSafe,edacdccb-647e-4f3c-960e-e31fa6dae7ed,PATROLLING,TRANSFER_TO_FIRING,0
4307,Grabówka,RatherSafe,edacdccb-647e-4f3c-960e-e31fa6dae7ed,TRANSFER_TO_FIRING,CALCULATING_PATH,0
4308,Grabówka,RatherSafe,45191f24-0a41-43a5-9aa8-c2ff5e9eb1a9,INTERVENTION,FIRING,0
