"simulationTime[s]","firingID","districtName","districtSafetyLevel","previousPatrolState","numberOfIteration","distanceOfSummonedPatrol","isNight"
13027,02c5d363-8eea-4274-b962-7ad52179c2fd,Gumniska-Zab³ocie,RatherSafe,PATROLLING,3,"2492,830834756292",0
13028,02c5d363-8eea-4274-b962-7ad52179c2fd,Gumniska-Zab³ocie,RatherSafe,PATROLLING,3,"2536,536718096442",0
15008,2c0dbde9-56a5-41aa-9d24-ae1a46236662,Strusina,RatherSafe,PATROLLING,1,"433,1421680148058",0
15008,2c0dbde9-56a5-41aa-9d24-ae1a46236662,Strusina,RatherSafe,PATROLLING,1,"195,9144254923076",0
15264,d7ebf9f0-c9d4-44d1-a96a-3c5a3cc17ae8,Zielone,RatherSafe,PATROLLING,1,"996,2608134022773",0
15264,d7ebf9f0-c9d4-44d1-a96a-3c5a3cc17ae8,Zielone,RatherSafe,PATROLLING,2,"2399,060475483029",0
15264,d7ebf9f0-c9d4-44d1-a96a-3c5a3cc17ae8,Zielone,RatherSafe,PATROLLING,2,"1855,7565044901228",0
15363,d99dcd4c-5fb5-43e3-8f85-ccbd8f45ca23,Chyszów,RatherSafe,PATROLLING,2,"1331,728083288893",0
15363,d99dcd4c-5fb5-43e3-8f85-ccbd8f45ca23,Chyszów,RatherSafe,PATROLLING,3,"2777,1397899753556",0
15364,d99dcd4c-5fb5-43e3-8f85-ccbd8f45ca23,Chyszów,RatherSafe,PATROLLING,3,"3529,294306458661",0
15364,d99dcd4c-5fb5-43e3-8f85-ccbd8f45ca23,Chyszów,RatherSafe,PATROLLING,3,"2777,7438268456676",0
15364,d99dcd4c-5fb5-43e3-8f85-ccbd8f45ca23,Chyszów,RatherSafe,PATROLLING,3,"2771,172665670842",0
15365,d99dcd4c-5fb5-43e3-8f85-ccbd8f45ca23,Chyszów,RatherSafe,PATROLLING,3,"2766,026409092161",0
15365,d99dcd4c-5fb5-43e3-8f85-ccbd8f45ca23,Chyszów,RatherSafe,PATROLLING,3,"2776,44785644841",0
16578,8b34df07-dac6-441e-a344-ef7e204434f9,Krakowska,RatherSafe,PATROLLING,1,"502,54438358472373",0
16578,8b34df07-dac6-441e-a344-ef7e204434f9,Krakowska,RatherSafe,PATROLLING,1,"953,4022801860041",0
16590,8b34df07-dac6-441e-a344-ef7e204434f9,Krakowska,RatherSafe,PATROLLING,2,"1506,5774922060996",0
16590,8b34df07-dac6-441e-a344-ef7e204434f9,Krakowska,RatherSafe,PATROLLING,2,"1728,5645277565156",0
16591,8b34df07-dac6-441e-a344-ef7e204434f9,Krakowska,RatherSafe,PATROLLING,2,"2157,3953407176928",0
16591,8b34df07-dac6-441e-a344-ef7e204434f9,Krakowska,RatherSafe,PATROLLING,2,"1658,9578710458134",0
16592,8b34df07-dac6-441e-a344-ef7e204434f9,Krakowska,RatherSafe,PATROLLING,2,"1893,9761378096387",0
16678,f531c95f-97c3-40a4-9b1d-d79eb6c0a5c0,Zielone,RatherSafe,PATROLLING,1,"678,2339035372656",0
16679,f531c95f-97c3-40a4-9b1d-d79eb6c0a5c0,Zielone,RatherSafe,PATROLLING,2,"1771,3486638162854",0
16679,f531c95f-97c3-40a4-9b1d-d79eb6c0a5c0,Zielone,RatherSafe,PATROLLING,2,"2379,079036136905",0
16679,f531c95f-97c3-40a4-9b1d-d79eb6c0a5c0,Zielone,RatherSafe,PATROLLING,2,"1761,9990304343303",0
16680,f531c95f-97c3-40a4-9b1d-d79eb6c0a5c0,Zielone,RatherSafe,PATROLLING,2,"1289,0898388820503",0
16680,f531c95f-97c3-40a4-9b1d-d79eb6c0a5c0,Zielone,RatherSafe,PATROLLING,2,"2357,018108585168",0
20386,be506547-b25e-48ac-a5b8-35714dab6644,Legionów Henryka D¹browskiego,RatherSafe,PATROLLING,1,"899,0706712571355",0
20387,be506547-b25e-48ac-a5b8-35714dab6644,Legionów Henryka D¹browskiego,RatherSafe,PATROLLING,1,"631,2716228537505",0
20387,be506547-b25e-48ac-a5b8-35714dab6644,Legionów Henryka D¹browskiego,RatherSafe,PATROLLING,1,"1093,9248392829247",0
20388,be506547-b25e-48ac-a5b8-35714dab6644,Legionów Henryka D¹browskiego,RatherSafe,PATROLLING,1,"1091,262079352479",0
20388,be506547-b25e-48ac-a5b8-35714dab6644,Legionów Henryka D¹browskiego,RatherSafe,PATROLLING,1,"407,1372652065026",0
20389,be506547-b25e-48ac-a5b8-35714dab6644,Legionów Henryka D¹browskiego,RatherSafe,PATROLLING,1,"1091,8147055904035",0
20389,be506547-b25e-48ac-a5b8-35714dab6644,Legionów Henryka D¹browskiego,RatherSafe,PATROLLING,1,"904,8749393348104",0
