"simulationTime[s]","incidentID","districtName","districtSafetyLevel","distanceOfSummonedPatrol[m]"
9865,81116337-9ff2-4d86-b4eb-3d15cdf878f6,Krzy¿,NotSafe,"261,2958551316004"
9865,81116337-9ff2-4d86-b4eb-3d15cdf878f6,Krzy¿,NotSafe,"1716,8251460343815"
9866,81116337-9ff2-4d86-b4eb-3d15cdf878f6,Krzy¿,NotSafe,"1816,0855533320116"
9867,81116337-9ff2-4d86-b4eb-3d15cdf878f6,Krzy¿,NotSafe,"1343,6006553186492"
9867,81116337-9ff2-4d86-b4eb-3d15cdf878f6,Krzy¿,NotSafe,"2343,9005329203355"
9868,81116337-9ff2-4d86-b4eb-3d15cdf878f6,Krzy¿,NotSafe,"1224,663150232556"
9903,bc6b3aed-13d8-4a45-adbf-8053dbb68ca4,Grabówka,RatherSafe,"1196,5684071308779"
9936,5bc78f27-89db-478a-ae73-be0a92593d99,Krzy¿,NotSafe,"1566,506058220879"
9991,59ac2cf1-31de-4ea1-ae3b-79bc285801eb,Starówka,RatherSafe,"635,9395433422998"
10002,af293f1d-7b98-4b30-8cbf-61ea0fff3c52,Zielone,RatherSafe,"990,3139441071731"
10207,0429ad00-e5eb-4cd6-804e-0790efea812c,Krzy¿,NotSafe,"1056,8297342671117"
10624,e77b06d6-7c5c-40be-9a32-4700dea0e02f,Chyszów,RatherSafe,"181,0234568070992"
10636,398688f1-bf45-4592-b260-492e86cf141c,Klikowa,Safe,"1803,476566222358"
10796,3bedabee-6974-4419-8018-4e4976d3ed94,Strusina,RatherSafe,"899,9263056409503"
10872,770e9218-7235-46a4-b3d4-6882f471312b,Chyszów,RatherSafe,"2030,9018097580317"
10946,225e278e-acf4-445b-bbd5-8bae01ce9783,Koszyce,RatherSafe,"2196,755184416337"
11021,f1df476b-b3cc-41bb-9c0a-6c37bdbcd153,Moœcice,RatherSafe,"3461,562485655359"
11162,9c7521fa-94d3-4818-a279-2d52ffc71e82,Moœcice,RatherSafe,"1969,8338373921993"
11526,e1d33215-832f-4937-aba3-f1b910b1d557,Jasna,RatherSafe,"1160,9245689753263"
11635,87ebf439-6c26-48f5-b373-21a0a3e88805,Zielone,RatherSafe,"662,6725098104592"
11774,92750666-c862-4387-a141-b3d42c06e3c9,Koszyce,RatherSafe,"1200,2231990920022"
11774,92750666-c862-4387-a141-b3d42c06e3c9,Koszyce,RatherSafe,"1260,281851620324"
